Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
14	x	Weiﬂ  3	4	4	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
15	2 mal x, 1 mal y	Weiﬂ  3	1	41	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
15	stimmt doch gar nicht	Weiﬂ  1	1	17	1	4	1	3	9	4	3	0	4	0	1	4	1	2	9	4	3	0	4	0	0	0	0	1
15	2 mal x und 1 mal y	Weiﬂ  3	2	48	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
15	haben X 	Weiﬂ  3	4	55	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
15	3 mal x	Weiﬂ  1	4	53	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
15	3 mal	Weiﬂ  3	4	53	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
15	und nehmen A	Weiﬂ  3	4	40	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
15	und w‰hlen a	Weiﬂ  1	4	35	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
16	Habe X	Weiﬂ  1	1	54	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
16	ebenfalls	Weiﬂ  3	1	43	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
16	auch	Weiﬂ  2	1	39	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
16	also nehmen wir A?	Weiﬂ  1	1	33	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
16	ja 	Weiﬂ  2	1	25				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
16	genau	Weiﬂ  3	1	24				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
16	stark ÄÄÄ	Weiﬂ  1	1	17				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
16	";D"	Weiﬂ  2	1	12				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
16	xD	Weiﬂ  3	1	9				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
16	3*x	Weiﬂ  3	2	59	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
16	X,A	Weiﬂ  2	2	53	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	3	3	0	4	0	0	0	0	0
16	3*X	Weiﬂ  1	3	52	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
16	safe dreimal X	Weiﬂ  2	3	47	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
16	3 X, 3 A, seit langem mal wieder :)	Weiﬂ  3	3	42	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	3	3	0	4	0	0	0	0	0
16	3 mal X	Weiﬂ  2	4	54	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
16	wir haben 3 mal die information X bekommen	Weiﬂ  3	4	53	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
16	Wir nehmen A	Weiﬂ  2	4	46	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
16	indianerehrenwort!	Weiﬂ  1	4	45	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
17	X	Weiﬂ  2	1	55	1	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	0	1	1	0
17	3x , easy 3a	Weiﬂ  3	1	53	2	1	1	3	3	4	3	0	4	0	2	1	1	3	3	1	3	0	4	0	1	1	1	0
17	safe	Weiﬂ  2	1	49	1	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
17	soweit bei 70% 3x von safe gesprochen werden kann 	Weiﬂ  3	1	24	1	4	1	3	9	4	3	0	4	0	8	4	1	3	9	4	3	0	4	0	0	0	0	.
17	3 times X - indianerehrenwort!	Weiﬂ  2	2	38	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
17	3 mal x	Weiﬂ  1	3	56	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
17	3*x	Weiﬂ  2	3	55	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
17	wir stimmen f¸r a	Weiﬂ  1	3	50	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
17	3mal X	Weiﬂ  2	4	59	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
17	wir nehmen a	Weiﬂ  3	4	50	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
17	jop, also alle f¸r A stimmen	Weiﬂ  1	4	50	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
18	3x = 3a	Weiﬂ  1	1	50	2	1	1	3	3	4	3	0	4	0	2	1	1	3	8	3	3	0	4	0	1	1	1	0
18	3*X	Weiﬂ  1	2	55	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
18	sodass logisch A folgt	Weiﬂ  3	2	43	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	.
18	3*x	Weiﬂ  2	3	53	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
18	halt a	Weiﬂ  3	3	40	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
18	haben 3 mal die info X bekommen	Weiﬂ  1	4	53	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
